[2025-05-12 01:00:05,585] [INFO] Configurando entorno...
[2025-05-12 01:00:13,248] [INFO] Ingesta OHLCV...
[2025-05-12 01:00:16,877] [INFO] Backtest ensemble...
[2025-05-12 01:00:20,680] [INFO] Iniciando scheduler diario...
[2025-05-12 01:00:22,844] [ERROR] Crash en AnimaCore: 'AnimaCore' object has no attribute 'run'. Reinciando en 30s
Traceback (most recent call last):
  File "C:\Users\FRANCISCO ARIAS\OneDrive - Asesoría Limac sa de cv\Escritorio\Anima_REX\main.py", line 66, in main
    core.run()
    ^^^^^^^^
AttributeError: 'AnimaCore' object has no attribute 'run'
[2025-05-12 01:00:52,938] [INFO] Scheduler detenido.
[2025-05-12 01:00:52,970] [INFO] Core detenido.
[2025-05-12 01:00:53,000] [INFO] Shutdown completo.
[2025-05-12 11:29:06,788] [INFO] Configurando entorno...
[2025-05-12 11:29:15,864] [INFO] Ingesta OHLCV...
[2025-05-12 11:29:19,891] [INFO] Backtest ensemble...
[2025-05-12 11:29:20,682] [INFO] Iniciando scheduler diario...
[2025-05-12 11:40:16,794] [INFO] Configurando entorno...
[2025-05-12 11:40:24,377] [INFO] Ingesta OHLCV...
[2025-05-12 11:40:27,662] [INFO] Backtest ensemble...
[2025-05-12 11:40:28,010] [INFO] Iniciando scheduler diario...
[2025-05-12 11:47:37,269] [INFO] Configurando entorno...
[2025-05-12 11:47:45,937] [INFO] Ingesta OHLCV...
[2025-05-12 11:47:49,666] [INFO] Backtest ensemble...
[2025-05-12 11:47:50,425] [INFO] Iniciando scheduler diario...
[2025-05-12 11:52:30,702] [INFO] Configurando entorno...
[2025-05-12 11:52:38,054] [INFO] Ingesta OHLCV...
[2025-05-12 11:52:41,808] [INFO] Backtest ensemble...
[2025-05-12 11:52:42,149] [INFO] Iniciando scheduler diario...
[2025-05-12 12:49:31,216] [INFO] Configurando entorno...
[2025-05-12 12:49:37,276] [INFO] Ingesta OHLCV...
[2025-05-12 12:49:40,629] [INFO] Backtest ensemble...
[2025-05-12 12:49:40,940] [INFO] Iniciando scheduler diario...
[2025-05-12 13:46:09,949] [INFO] Configurando entorno...
[2025-05-12 13:46:15,915] [INFO] Ingesta OHLCV...
[2025-05-12 13:46:37,145] [INFO] Backtest ensemble...
[2025-05-12 13:46:37,566] [INFO] Iniciando scheduler diario...
[2025-05-12 16:31:54,299] [INFO] Configurando entorno...
[2025-05-12 16:31:59,680] [INFO] Ingesta OHLCV...
[2025-05-12 16:32:00,872] [INFO] Backtest ensemble...
[2025-05-12 16:32:03,285] [INFO] Iniciando scheduler diario...
[2025-05-12 16:33:31,927] [INFO] Configurando entorno...
[2025-05-12 16:33:35,273] [INFO] Ingesta OHLCV...
[2025-05-12 16:33:36,120] [INFO] Backtest ensemble...
[2025-05-12 16:33:36,238] [INFO] Iniciando scheduler diario...
[2025-05-12 16:50:10,247] [INFO] Configurando entorno...
[2025-05-12 16:50:14,186] [INFO] Ingesta OHLCV...
[2025-05-12 16:50:15,067] [INFO] Backtest ensemble...
[2025-05-12 16:50:15,203] [INFO] Iniciando scheduler diario...
[2025-05-12 17:03:10,785] [INFO] Configurando entorno...
[2025-05-12 17:03:13,715] [INFO] Ingesta OHLCV...
[2025-05-12 17:03:14,599] [INFO] Backtest ensemble...
[2025-05-12 17:03:14,717] [INFO] Iniciando scheduler diario...
[2025-05-12 17:19:35,055] [INFO] Configurando entorno...
[2025-05-12 17:19:38,032] [INFO] Ingesta OHLCV...
[2025-05-12 17:19:38,886] [INFO] Backtest ensemble...
[2025-05-12 17:19:39,044] [INFO] Iniciando scheduler diario...
